Name,Title,Type,Quote,Ad Pull Quote
Ken P.,"Bond Member",Customer,"Living in lower Manhattan and having lived through 9/11, Superstorm Sandy, Occupy Wall Street and now the coronavirus pandemic — I know the consequences these events have on our neighborhood's safety & security. Until now we had no easy and affordable resource to turn to in order to provide safety and security for me and my family. Now I am using Bond, a feature-rich personal security system app on my cell phone which works similar to a home security system except it travels with you wherever you go. One of the app's options allows you to easily and seamlessly schedule a personal bodyguard on the fly whenever you need it. I used it for my family's peace of mind during a period of civil unrest. Our bodyguards were former FBI and Homeland Security agents — highly professional and experienced. They made me and my family feel extremely safe and secure. It never occurred to me to hire a bodyguard, but ordering one was so easy on the app and it was surprisingly affordable that I gave it a try. It made attending our event less stressful and much more enjoyable knowing that Jim and Mark were watching over us. I won't hesitate to use the service again. Thank you, BOND!!","Ordering a bodyguard was so easy on the app — and surprisingly affordable. It never occurred to me to hire one, but I gave it a try. It made everything less stressful and much more enjoyable."
Raymond Kelly,"Former NYPD Commissioner, Bond Advisor",Advisor,"Bond offers a unique and valuable service, enhancing peace-of-mind and personal security for individuals and families. In particular, I see great value in Bond's 24/7 Personal Security Agents and the novel array of preventative services for situations that do not initially reach the severity of a 911 emergency call. This includes monitoring members and being by their side. Bond has taken a professional approach to designing its services, combining security expertise, technological innovation and exceptional performance.","I see great value in Bond's 24/7 Personal Security Agents — preventative services for situations that don't yet reach the severity of a 911 call."
Bill Craig,"Former Chief of Police and Emergency Management Coordinator, Bond Advisor",Advisor,"As a former Chief of Police with more than 30 years of deep experience in helping keep people safe, I'm impressed with Bond's vision, technological and operational innovation combined with their ability to enhance the safety of community members. Bond services, particularly the preventative services, are aimed at helping reduce crime as well as increasing personal safety. Their trained Personal Security Agents are available 24/7 to help provide support and are available through an easy to use mobile app. I'm impressed with the strong team behind Bond and I highly recommend the service to anyone seeking greater safety.","As a former Chief of Police with 30 years of experience — I highly recommend Bond to anyone seeking greater safety."
Jennifer J.,"Bond Member",Customer,"Bond gives me the assurance I need to feel safe anywhere I walk. I love the feeling of having 24/7 security with me at all times. I love the app, especially the Track My Walk feature because I know that Bond is with me every step I take.","Bond gives me the assurance I need to feel safe anywhere I walk. I know that Bond is with me every step I take."
